Anus,culus,incola,legatus,priuo,media
Aranea ,morbus,plausus,nego,perscribo,luteus
Cancer,vulnus,arcesso,ordo,occulte,longaeuus
Caninus ,dens,acrimonia,salus,sempiternus,mutabilis
Causa ,morbus,contingit,moueo,lictor,lambo
Colis/caulis,penis,accliuis,inuenio,pirata,manumitto
Fistula,vulnus,decliuis,quasi,postumus,mauretania
Folliculus ,utriculus,inclamo,signum,oraculum,lupa
Impetus,morbus,incendo,loquor,insolitus,iubar
Lenticula,lentigo,propinquo,frater,inhibeo,intromitto
Lumen ,visum,cumulate,quin,stabilis,niualis
Malum,morbus,euenio,ualeo,medicina,legatum
Menstrua ,decurso,praecingo,regnum,moderor,leonnatus
Mola,dens,commode,aduersus,profugus,menapii
Musculus ,lacertus,arripio,puer,murena,liuius
Patella,os genus,apto,occursatio,procurro,medus
Pecten,os pubis,appositus,sententia,rigidus,mollitia
Plaga,ulcus,accessio,sentio,latium,iulianus
potio,medicamentum,redundo,defendo,illo,iniuste
Pupilla ,oculus,delator,hinc,scriptor,munificentia
Scrotum,follis,discumbo,crimen,rite,monitum
Spina ,dorsum,crudus,finis,sosia,necopinans
Spiritus ,flatus,incuso,cur,sacerdotium,munditia
Tibia ,sura,inclino,fortis,petitio,manilius
vitium,morbus,uehemens,seruus,sella,munusculum
